ProvDist,MuniCity,BgySubmun,ProvDistPSGC,MuniCityPSGC,BgySubmunPSGC,Area
ILOCOS NORTE,ADAMS,ADAMS,102800000,102801000,102801001,NORTH LUZON
ILOCOS NORTE,BACARRA,BANI,102800000,102802000,102802001,NORTH LUZON
ILOCOS NORTE,BACARRA,BUYON,102800000,102802000,102802002,NORTH LUZON
ILOCOS NORTE,BACARRA,CABARUAN,102800000,102802000,102802003,NORTH LUZON
ILOCOS NORTE,BACARRA,CABULALAAN,102800000,102802000,102802004,NORTH LUZON
ILOCOS NORTE,BACARRA,CABUSLIGAN,102800000,102802000,102802005,NORTH LUZON
ILOCOS NORTE,BACARRA,CADARATAN,102800000,102802000,102802006,NORTH LUZON
ILOCOS NORTE,BACARRA,CALIOET LIBONG,102800000,102802000,102802007,NORTH LUZON
ILOCOS NORTE,BACARRA,CASILIAN,102800000,102802000,102802008,NORTH LUZON
ILOCOS NORTE,BACARRA,COROCOR,102800000,102802000,102802009,NORTH LUZON
ILOCOS NORTE,BACARRA,DURIPES,102800000,102802000,102802011,NORTH LUZON
ILOCOS NORTE,BACARRA,GANAGAN,102800000,102802000,102802012,NORTH LUZON
ILOCOS NORTE,BACARRA,LIBTONG,102800000,102802000,102802013,NORTH LUZON
ILOCOS NORTE,BACARRA,MACUPIT,102800000,102802000,102802014,NORTH LUZON
ILOCOS NORTE,BACARRA,NAMBARAN,102800000,102802000,102802015,NORTH LUZON
ILOCOS NORTE,BACARRA,NATBA,102800000,102802000,102802016,NORTH LUZON
ILOCOS NORTE,BACARRA,PANINAAN,102800000,102802000,102802017,NORTH LUZON
ILOCOS NORTE,BACARRA,PASIOCAN,102800000,102802000,102802018,NORTH LUZON
ILOCOS NORTE,BACARRA,PASNGAL,102800000,102802000,102802019,NORTH LUZON
ILOCOS NORTE,BACARRA,PIPIAS,102800000,102802000,102802020,NORTH LUZON
ILOCOS NORTE,BACARRA,PULANGI,102800000,102802000,102802021,NORTH LUZON
ILOCOS NORTE,BACARRA,PUNGTO,102800000,102802000,102802022,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN AGUSTIN 1,102800000,102802000,102802024,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN AGUSTIN 2,102800000,102802000,102802025,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN ANDRES 1,102800000,102802000,102802027,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN ANDRES 2,102800000,102802000,102802028,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN GABRIEL 1,102800000,102802000,102802030,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN GABRIEL 2,102800000,102802000,102802031,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN PEDRO 1,102800000,102802000,102802033,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN PEDRO 2,102800000,102802000,102802034,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN ROQUE 1,102800000,102802000,102802036,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN ROQUE 2,102800000,102802000,102802037,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN SIMON 1,102800000,102802000,102802039,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN SIMON 2,102800000,102802000,102802040,NORTH LUZON
ILOCOS NORTE,BACARRA,SAN VICENTE,102800000,102802000,102802041,NORTH LUZON
ILOCOS NORTE,BACARRA,SANGIL,102800000,102802000,102802042,NORTH LUZON
ILOCOS NORTE,BACARRA,SANTA FILOMENA 1,102800000,102802000,102802044,NORTH LUZON
ILOCOS NORTE,BACARRA,SANTA FILOMENA 2,102800000,102802000,102802045,NORTH LUZON
ILOCOS NORTE,BACARRA,SANTA RITA,102800000,102802000,102802046,NORTH LUZON
ILOCOS NORTE,BACARRA,SANTO CRISTO 1,102800000,102802000,102802047,NORTH LUZON
ILOCOS NORTE,BACARRA,SANTO CRISTO 2,102800000,102802000,102802048,NORTH LUZON
