adm1_psgc,adm2_psgc,adm3_psgc,adm4_psgc,adm4_en,geo_level,len_crs,area_crs,len_km,area_km2
100000000,102800000,102801000,102801001,Adams,Bgy,45997,111184551,45,111.0
100000000,102800000,102802000,102802001,Bani,Bgy,5982,1761135,5,1.0
100000000,102800000,102802000,102802002,Buyon,Bgy,9117,3875134,9,3.0
100000000,102800000,102802000,102802003,Cabaruan,Bgy,7745,2987648,7,2.0
100000000,102800000,102802000,102802004,Cabulalaan,Bgy,4502,1018354,4,1.0
100000000,102800000,102802000,102802005,Cabusligan,Bgy,4832,1382177,4,1.0
100000000,102800000,102802000,102802006,Cadaratan,Bgy,4566,942268,4,0.0
100000000,102800000,102802000,102802007,Calioet-Libong,Bgy,5881,1865363,5,1.0
100000000,102800000,102802000,102802008,Casilian,Bgy,7918,3360391,7,3.0
100000000,102800000,102802000,102802009,Corocor,Bgy,6028,1633074,6,1.0
100000000,102800000,102802000,102802011,Duripes,Bgy,8981,2225984,8,2.0
100000000,102800000,102802000,102802012,Ganagan,Bgy,7533,1866494,7,1.0
100000000,102800000,102802000,102802013,Libtong,Bgy,7521,2736773,7,2.0
100000000,102800000,102802000,102802014,Macupit,Bgy,4542,729992,4,0.0
100000000,102800000,102802000,102802015,Nambaran,Bgy,8701,3353522,8,3.0
100000000,102800000,102802000,102802016,Natba,Bgy,4518,993724,4,0.0
100000000,102800000,102802000,102802017,Paninaan,Bgy,7844,4011199,7,4.0
100000000,102800000,102802000,102802018,Pasiocan,Bgy,7262,3196427,7,3.0
100000000,102800000,102802000,102802019,Pasngal,Bgy,5462,1533790,5,1.0
100000000,102800000,102802000,102802020,Pipias,Bgy,3372,705890,3,0.0
100000000,102800000,102802000,102802021,Pulangi,Bgy,10070,3321798,10,3.0
100000000,102800000,102802000,102802022,Pungto,Bgy,3756,901271,3,0.0
100000000,102800000,102802000,102802024,San Agustin I ,Bgy,1661,135529,1,0.0
100000000,102800000,102802000,102802025,San Agustin II ,Bgy,1653,88905,1,0.0
100000000,102800000,102802000,102802027,San Andres I ,Bgy,1418,125450,1,0.0
100000000,102800000,102802000,102802028,San Andres II ,Bgy,1450,132086,1,0.0
100000000,102800000,102802000,102802030,San Gabriel I ,Bgy,1093,45257,1,0.0
100000000,102800000,102802000,102802031,San Gabriel II ,Bgy,1184,60626,1,0.0
100000000,102800000,102802000,102802033,San Pedro I ,Bgy,1242,59087,1,0.0
100000000,102800000,102802000,102802034,San Pedro II ,Bgy,1331,97846,1,0.0
100000000,102800000,102802000,102802036,San Roque I ,Bgy,1651,141381,1,0.0
100000000,102800000,102802000,102802037,San Roque II ,Bgy,1410,109035,1,0.0
100000000,102800000,102802000,102802039,San Simon I ,Bgy,1793,172232,1,0.0
100000000,102800000,102802000,102802040,San Simon II ,Bgy,1211,51849,1,0.0
100000000,102800000,102802000,102802041,San Vicente ,Bgy,1303,103903,1,0.0
100000000,102800000,102802000,102802042,Sangil,Bgy,5765,1441303,5,1.0
100000000,102800000,102802000,102802044,Santa Filomena I ,Bgy,1914,132012,1,0.0
100000000,102800000,102802000,102802045,Santa Filomena II ,Bgy,1830,116421,1,0.0
100000000,102800000,102802000,102802046,Santa Rita ,Bgy,3169,602939,3,0.0
100000000,102800000,102802000,102802047,Santo Cristo I ,Bgy,1544,124135,1,0.0
100000000,102800000,102802000,102802048,Santo Cristo II ,Bgy,1161,59771,1,0.0
100000000,102800000,102802000,102802050,Tambidao,Bgy,7879,3597535,7,3.0
100000000,102800000,102802000,102802051,Teppang,Bgy,5833,1447034,5,1.0
100000000,102800000,102802000,102802052,Tubburan,Bgy,6987,2099307,6,2.0
100000000,102800000,102803000,102803001,Alay-Nangbabaan,Bgy,6967,1804568,6,1.0
100000000,102800000,102803000,102803002,Alogoog,Bgy,2415,336917,2,0.0
100000000,102800000,102803000,102803003,Ar-arusip,Bgy,5497,1255870,5,1.0
100000000,102800000,102803000,102803004,Aring,Bgy,6352,1122410,6,1.0
100000000,102800000,102803000,102803005,Balbaldez,Bgy,5080,1362737,5,1.0
100000000,102800000,102803000,102803006,Bato,Bgy,6055,1664531,6,1.0
100000000,102800000,102803000,102803007,Camanga,Bgy,8821,3715533,8,3.0
100000000,102800000,102803000,102803008,Canaan ,Bgy,2702,249048,2,0.0
100000000,102800000,102803000,102803009,Caraitan,Bgy,7448,2482510,7,2.0
100000000,102800000,102803000,102803011,Gabut Norte,Bgy,7404,830659,7,0.0
100000000,102800000,102803000,102803012,Gabut Sur,Bgy,3710,513652,3,0.0
100000000,102800000,102803000,102803013,Garreta ,Bgy,2735,294862,2,0.0
100000000,102800000,102803000,102803016,Labut,Bgy,11945,4699613,11,4.0
100000000,102800000,102803000,102803017,Lacuben,Bgy,12608,6279086,12,6.0
